Time,Rate,Error,Fracexp
2019-09-12 01:46:07.229260,4.4415708,2.1075034,1.0
2019-09-12 01:46:08.229260,6.8201585,2.6115434,1.0
2019-09-12 01:46:09.229260,4.217909,2.0537548,1.0
2019-09-12 01:46:10.229260,8.46244,2.9090273,1.0
2019-09-12 01:46:11.229260,2.7806125,1.6675168,1.0
2019-09-12 01:46:12.229260,2.8036575,1.6744126,1.0
2019-09-12 01:46:13.229260,4.2533073,2.0623548,1.0
2019-09-12 01:46:14.229260,1.3376608,1.1565728,1.0
2019-09-12 01:46:15.229260,5.6165614,2.3699286,1.0
2019-09-12 01:46:16.229260,0.0,0.0,1.0
2019-09-12 01:46:17.229260,2.8670914,1.6932487,1.0
2019-09-12 01:46:18.229260,2.5723333,1.6038495,1.0
2019-09-12 01:46:19.229260,5.678868,2.3830376,1.0
2019-09-12 01:46:20.229260,7.3013535,2.7021017,1.0
2019-09-12 01:46:21.229260,2.9517083,1.7180537,1.0
2019-09-12 01:46:22.229260,4.1307497,2.0324247,1.0
2019-09-12 01:46:23.229260,12.081751,3.4758813,1.0
2019-09-12 01:46:24.229260,9.705497,3.1153646,1.0
2019-09-12 01:46:25.229260,8.201323,2.863795,1.0
2019-09-12 01:46:26.229260,1.5394409,1.2407421,1.0
2019-09-12 01:46:27.229260,6.861672,2.6194794,1.0
2019-09-12 01:46:28.229260,5.6764603,2.3825324,1.0
2019-09-12 01:46:29.229260,3.9950457,1.998761,1.0
2019-09-12 01:46:30.229260,1.4485756,1.2035679,1.0
2019-09-12 01:46:31.229260,5.7372317,2.395252,1.0
2019-09-12 01:46:32.229260,4.3886156,2.0949023,1.0
2019-09-12 01:46:33.229260,2.7855346,1.668992,1.0
2019-09-12 01:46:34.229260,6.9994707,2.6456513,1.0
2019-09-12 01:46:35.229260,4.1937537,2.0478656,1.0
2019-09-12 01:46:36.229260,1.3582901,1.165457,1.0
2019-09-12 01:46:37.229260,6.5210824,2.553641,1.0
2019-09-12 01:46:38.229260,2.807757,1.6756363,1.0
2019-09-12 01:46:39.229260,2.7804964,1.667482,1.0
2019-09-12 01:46:40.229260,4.0843496,2.0209775,1.0
2019-09-12 01:46:41.229260,2.6626618,1.6317664,1.0
2019-09-12 01:46:42.229260,6.76029,2.6000557,1.0
2019-09-12 01:46:43.229260,6.5207605,2.553578,1.0
2019-09-12 01:46:44.229260,4.193531,2.0478113,1.0
2019-09-12 01:46:45.229260,2.816806,1.6783344,1.0
2019-09-12 01:46:46.229260,6.9389343,2.6341858,1.0
2019-09-12 01:46:47.229260,4.087438,2.0217414,1.0
2019-09-12 01:46:48.229260,8.06315,2.8395686,1.0
2019-09-12 01:46:49.229260,1.3857598,1.177183,1.0
2019-09-12 01:46:50.229260,4.125804,2.0312076,1.0
2019-09-12 01:46:51.229260,6.9384494,2.6340938,1.0
2019-09-12 01:46:52.229260,5.6338263,2.3735683,1.0
2019-09-12 01:46:53.229260,4.424972,2.1035616,1.0
2019-09-12 01:46:54.229260,1.5344154,1.2387152,1.0
2019-09-12 01:46:55.229260,2.735769,1.654016,1.0
2019-09-12 01:46:56.229260,6.526052,2.5546138,1.0
2019-09-12 01:46:57.229260,6.749403,2.5979614,1.0
